casts,directors,rate,title
"肖战,李沁,孟美岐,唐艺昕,刘端端",程小东,4.7,诛仙 Ⅰ
"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮",饺子,8.5,哪吒之魔童降世
"周冬雨,易烊千玺,尹昉,周也,吴越",曾国祥,8.3,少年的你
"徐峥,王传君,周一围,谭卓,章宇",文牧野,9.0,我不是药神
"屈楚萧,吴京,李光洁,吴孟达,赵今麦",郭帆,7.9,流浪地球
"黄渤,张译,韩昊霖,杜江,葛优","陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野",7.8,我和我的祖国
"梁朝伟,白百何,井柏然,李宇春,杨祐宁",许诚毅,5.0,捉妖记2
"张国荣,张丰毅,巩俐,葛优,英达",陈凯歌,9.6,霸王别姬
"沈腾,宋芸桦,张一鸣,张晨光,常远","闫非,彭大魔",6.5,西虹市首富
"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",刘镇伟,9.2,大话西游之大圣娶亲
"王宝强,刘昊然,肖央,刘承羽,尚语贤",陈思诚,6.7,唐人街探案2
"张译,黄景瑜,海清,杜江,蒋璐霞",林超贤,8.3,红海行动
"张涵予,欧豪,杜江,袁泉,张天爱",刘伟强,6.7,中国机长
"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚",刘镇伟,9.0,大话西游之月光宝盒
"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗",吴京,7.1,战狼2
"沈腾,马丽,尹正,艾伦,王智","闫非,彭大魔",7.6,夏洛特烦恼
"姜文,葛优,周润发,刘嘉玲,陈坤",姜文,8.8,让子弹飞
"王宝强,刘昊然,佟丽娅,陈赫,肖央",陈思诚,7.6,唐人街探案
"黄渤,舒淇,王宝强,张艺兴,于和伟",黄渤,7.1,一出好戏
"沈腾,黄景瑜,尹正,张本煜,尹昉",韩寒,6.9,飞驰人生
"周星驰,元秋,元华,黄圣依,梁小龙",周星驰,8.5,功夫
"邓超,罗志祥,张雨绮,林允,徐克",周星驰,6.7,美人鱼
"徐峥,袁泉,郭京飞,黄景瑜,贾冰",徐峥,6.0,囧妈
"陈建斌,任素汐,潘斌龙,章宇,王砚辉",饶晓志,8.1,无名之辈
"艾伦,马丽,沈腾,田雨,宋阳","宋阳,张吃鱼",6.9,羞羞的铁拳
"黄轩,苗苗,钟楚曦,杨采钰,李晓峰",冯小刚,7.6,芳华
"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,里德·斯科特",鲁本·弗雷斯彻,7.2,毒液：致命守护者
"任素汐,大力,刘帅良,裴魁山,阿如那","周申,刘露",8.3,驴得水
"黄轩,染谷将太,张雨绮,秦昊,张榕容",陈凯歌,6.9,妖猫传
