positiveRatio,price,storeName,title
95%,¥5999.00,Apple产品自营旗舰店,Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待黑色
97%,¥7299.00,Apple产品自营旗舰店,Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G手机 双卡双待金色
97%,¥4999.00,Apple产品自营旗舰店,Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待黑色
96%,¥10899.00,Apple产品自营旗舰店,Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待暗夜绿色
97%,¥6399.00,Apple产品自营旗舰店,Apple iPhone XS (A2100) 256GB 金色 移动联通电信4G手机金色
97%,¥3599.00,Apple产品自营旗舰店,Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机黑色
97%,¥2999.00,Apple产品自营旗舰店,Apple iPhone 7 (A1660) 128G 黑色 移动联通电信4G手机
95%,¥5688.00,佳沪手机旗舰店,Apple 苹果 iPhone 11 手机 紫色 全网通 128GB紫色
97%,¥8699.00,Apple产品自营旗舰店,Apple iPhone 11 Pro (A2217) 64GB 暗夜绿色 移动联通电信4G手机 双卡双待暗夜绿色
97%,¥5698.00,臻火旗舰店,现货速发 苹果 手机 Apple iPhone 11 黑色 128GB黑色
98%,¥4299.00,Apple产品自营旗舰店,Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机金色
97%,¥5699.00,炜东电商旗舰店,Apple 苹果 iPhone 11 手机 紫色 全网通128G紫色
97%,¥5699.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 11 双卡双待手机 绿色 128GB绿色
97%,¥5288.00,中国移动手机官方旗舰店,【可选】苹果 iPhone 11 全网通 手机 紫色 64GB紫色
97%,¥5688.00,掌视界数码旗舰店,Apple 苹果 iPhone 11 手机 白色 全网通128G白色
96%,¥3488.00,佳沪手机旗舰店,Apple 苹果 iPhone7 Plus 手机 黑色 全网通 128GB黑色
97%,¥4998.00,佳沪手机旗舰店,Apple 苹果 iPhone XR 手机 黑色 全网通 128GB黑色
98%,¥5669.00,疆界互联旗舰店,【国行正品】Apple 苹果 iphone 11 手机 黑色 全网通128GB黑色
95%,¥5698.00,茄子手机旗舰店,【现货国行低至5088元起】Apple 苹果 iPhone 11 移动联通电信4G手机 双卡双待 黑色 128GB黑色
95%,¥5138.00,明日数码旗舰店,现货速发【现货国行-5048元起-可分期】Apple 苹果 iPhone 11 手机 黑色 全网通 64GB黑色
96%,¥2788.00,佳沪手机旗舰店,Apple 苹果 iPhone7 手机 黑色 全网通 128G
98%,¥6858.00,佳沪手机旗舰店,Apple 苹果 iPhone Xs Max 手机 金色 全网通 256GB金色
98%,¥5768.00,新松联手机旗舰店,苹果iPhone 11 手机 紫色 全网通128G紫色
98%,¥5678.00,华信通手机专营店,Apple 苹果 iPhone 11 全网通手机 黑色 全网通 128GB黑色
96%,¥2769.00,君问手机旗舰店,苹果 Apple iPhone 7 手机 128G全网通国行【正品行货，顺丰速发】 黑色 官方标配(全网通128G)
97%,¥4876.00,平田数码专营店,Apple iPhone 8 Plus 移动联通电信4G手机 全网通苹果8P 金色 128G
97%,¥3468.00,新松联手机旗舰店,Apple苹果iPhone7Plus4G手机 黑色 全网通128GB黑色
94%,¥10068.00,佳沪手机旗舰店,Apple 苹果 iPhone 11Pro Max 手机 暗夜绿色 全网通 256GB暗夜绿色
99%,¥11728.00,淘金手机专营店,【国行现货8818元起】Apple 苹果 iPhone 11 Pro Max移动联通电信 暗夜绿色 全网通 (256G)暗夜绿色
97%,¥5698.00,淘金手机专营店,【国行现货5078元起】Apple 苹果 iPhone 11 移动联通电信4G手机 双卡双待 黑色 全网通 (128G)黑色
98%,¥5699.00,鹏瑶旗舰店,Apple 苹果 iPhone11 手机 双卡双待 黑色 全网通128G黑色
95%,¥9488.00,佳沪手机旗舰店,Apple 苹果 iPhone 11Pro 手机 深空灰色 全网通 256GB深空灰色
97%,¥10099.00,同达丰手机旗舰店,Apple 苹果 iphone 11 Pro Max 手机 暗夜绿色 全网通 256GB暗夜绿色
97%,¥5118.00,同达丰手机旗舰店,Apple 苹果 iphone 11 手机 黑色 全网通 64GB黑色
98%,¥4668.00,炜东电商旗舰店,Apple 苹果 iPhone xr 手机 黑色 全网通64G黑色
95%,¥6599.00,佳沪手机旗舰店,Apple 苹果 iPhone 11 手机 黑色 128G 全网通黑色
98%,¥10168.00,茄子手机旗舰店,【至高可选】Apple 苹果 iPhone 11 Pro Max 全网通4G手机双卡双待 暗夜绿色 256GB暗夜绿色
98%,¥4899.00,佳沪手机旗舰店,Apple 苹果  iPhone8 Plus 手机 深空灰色 全网通 128GB深空灰色
97%,¥2785.00,鹏瑶旗舰店,Apple 苹果  iPhone7 手机 磨砂黑 全网通128G磨砂黑
97%,¥8188.00,淘金手机专营店,【国行现货7928元起】Apple 苹果 iPhone 11 Pro移动联通电信4G手机 暗夜绿色 全网通 (64G)暗夜绿色
95%,¥9448.00,明日数码旗舰店,【现货国行-8119元起-可分期】Apple 苹果 iPhone 11Pro 手机 深空灰色 全网通(256GB)深空灰色
98%,¥4058.00,同达丰手机旗舰店,Apple 苹果  iPhone 8 plus 手机 深空灰 全网通 64GB深空灰
98%,¥5399.00,佳沪手机旗舰店,Apple 苹果 iPhone Xs 手机 银色 全网通 64GB银色
94%,¥5999.00,京合旗舰店,Apple 苹果 iPhone 11 全网通国行正品全新官网旗舰店手机 紫色 全网通128GB紫色
98%,¥5858.00,新松联手机旗舰店,Apple 苹果 iphone Xs Max 手机 全网通 金色 64GB金色
97%,¥4598.00,牧申手机旗舰店,Apple 苹果 iPhone XR 手机 白色 全网通64GB白色
98%,¥5078.00,新松联手机旗舰店,Apple 苹果 iPhone XR 手机 全网通 黑色 128GB黑色
97%,¥10088.00,明日数码旗舰店,【现货国行-8738元起-可分期】Apple 苹果 iPhone 11Pro Max 手机 暗夜绿色 全网通(256GB)暗夜绿色
98%,¥6788.00,佳沪手机旗舰店,Apple 苹果  iPhone X 全面屏手机 银色 全网通 256GB银色
99%,¥5288.00,新松联手机旗舰店,Apple 苹果 iPhone Xs 手机 全网通 金色 64GB金色
100%,¥10699.00,联通华盛手机旗舰店,iPhone 11 Pro Max  苹果手机 全网通【正常发货】 暗夜绿 256G
97%,¥4966.00,明日数码旗舰店,Apple 苹果 iPhone XR (A2108) 手机 黑色 全网通 128GB黑色
98%,¥5188.00,牧申手机旗舰店,Apple 苹果 iPhone11 手机 黑色 全网通 64GB黑色
100%,¥10798.00,银河信业手机专营店,苹果 iPhone11Pro Max 手机 深空灰色 256GB
98%,¥5848.00,炜东电商旗舰店,Apple 苹果 iphone xsmax 手机 双卡双待 银色 全网通64G银色
97%,¥5678.00,咪咕旗舰店,苹果 Apple iPhone 11 全网通4G手机双卡双待移动联通电信4G智能手机 黑色 128G黑色
98%,¥3598.00,同达丰手机旗舰店,Apple 苹果  iPhone 8 手机 金色 全网通 64GB金色
93%,¥5799.00,宏图手机专营店,Apple 苹果 iPhone11 手机 白色 128GB白色
99%,¥4898.00,疆界互联旗舰店,Apple （苹果） iPhone8 Plus (A1864) 手机 深空灰 全网通128GB深空灰
98%,¥3569.00,君问手机旗舰店,Apple 苹果iPhone8手机【国行正品 现货顺丰速发】 金色 64G金色
99%,¥9199.00,炜东电商旗舰店,Apple 苹果 iphone 11 pro max 手机 暗夜绿 全网通64G暗夜绿
96%,¥8198.00,茄子手机旗舰店,【至高可选】Apple 苹果 iPhone 11 Pro 移动联通电信4G手机 双卡双待 银色 64GB银色
98%,¥4088.00,新松联手机旗舰店,Apple 苹果 iPhone8 Plus 手机 全网通 深空灰 公开(64G)标配
100%,¥10799.00,福气多多手机旗舰店,Apple 苹果 iPhone 11 Pro Max 手机 暗夜绿色 全网通 256GB暗夜绿色
99%,¥5399.00,炜东电商旗舰店,Apple 苹果xs iphone xs 手机 银色 全网通64G银色
91%,¥5899.00,凯宏手机专营店,Apple 苹果 iPhone 11 【假一赔十】手机 黑色 128GB黑色
96%,¥3599.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone 7 Plus 手机 黑色 全网通(128GB )黑色
98%,¥6798.00,同达丰手机旗舰店,Apple 苹果 iphone XS MAX 手机 金色 全网通 256G金色
96%,¥8109.00,中国移动手机官方旗舰店,【现货速发-国行正品】苹果 iPhone 11 Pro 全网通手机 深空灰色 64GB深空灰色
96%,¥3469.00,明日数码旗舰店,Apple 苹果 iPhone7 Plus （A1661） 4G智能手机 玫瑰金 官方标配 128GB
98%,¥5758.00,OKSJ手机旗舰店,苹果Apple iphone 11 手机全网通智能手机 绿色 128G绿色 128G
96%,¥6849.00,君问手机旗舰店,Apple 苹果 iPhone 11 手机【国行现货 顺丰速发】 白色 256G白色
96%,¥5999.00,豫穆手机专营店,Apple 苹果iPhone 11 【0首付】手机 双卡双待 黑色 128GB黑色
93%,¥10699.00,佳沪手机旗舰店,Apple 苹果 iPhone 11Pro 手机 暗夜绿色 64G 全网通
90%,¥3599.00,冰之凯盛手机旗舰店,苹果（Apple） 苹果 iPhone7 Plus 手机【0首付】 现货速发 金色 全网通 128G金色
83%,¥5399.00,联通华盛手机旗舰店,iPhone 11 苹果手机 全网通 2019年款【正常发货】 绿色 64G绿色
100%,¥5398.00,茄子手机旗舰店,Apple iPhone XS 苹果Xs 手机 深空灰色 4G全网通 64GB深空灰色
99%,¥5999.00,上海盛南连锁通信专营店,Apple 苹果 iPhone 11 手机 黑色 全网通 128GB
97%,¥4958.00,茄子手机旗舰店,Apple iPhone XR 苹果Xr手机 黑色 128GB黑色
50%,¥6999.00,福气多多手机旗舰店,Apple 苹果 iPhone Xs Max 手机 银色 全网通 256GB
97%,¥11359.00,臻火旗舰店,现货速发 苹果 手机 AppleiPhone 11Pro 金色 512GB金色
92%,¥6999.00,易销科技手机专营店,苹果Apple iPhone 11 (A2223)移动联通电信4G手机 双卡双待全面屏 紫色 256GB
100%,¥5899.00,银河信业手机专营店,苹果 iPhone11手机 黑色 128GB黑色
100%,¥5899.00,福气多多手机旗舰店,Apple 苹果 iPhone 11 手机 黑色 全网通 128GB
98%,¥4899.00,炜东电商旗舰店,Apple 苹果 iPhone 8plus全网通手机 深空灰 128G深空灰
90%,¥3699.00,豫穆手机专营店,Apple 苹果 iPhone 7 Plus128G 0首付手机 磨砂黑 官方标配
98%,¥4819.00,君问手机旗舰店,Apple 苹果 iPhone 8 Plus 手机 【国行正品 现货顺丰速发】 银色 128G银色
91%,¥6899.00,伟德手机专营店,Apple 苹果 iPhone 11 手机 全网通 双卡双待 紫色 256GB紫色
99%,¥6499.00,联通华盛手机旗舰店,【正常发货】 iPhone 11 苹果手机 全网通 2019年款 红色 256G红色
90%,¥5999.00,天域手机专营店,Apple 苹果 iPhone 11 移动联通电信4G手机 双卡双待 紫色 128GB
95%,¥3699.00,疆界互联旗舰店,Apple （苹果） iPhone8 (A1863) 手机 深空灰色 全网通64G深空灰色
94%,¥6429.00,君问手机旗舰店,【白条12期】苹果 Apple iPhone 11 全网通手机 黑色 128G黑色
100%,¥9799.00,联通华盛手机旗舰店,iPhone 11 Pro 苹果手机 全网通 2019年新款【正常发货】 暗夜绿 256G
96%,¥3519.00,君问手机旗舰店,Apple 苹果 iPhone 7 Plus 手机【国行正品 现货顺丰速发】 银色 官方标配(全网通128G)银色
100%,¥5199.00,豫穆手机专营店,Apple 苹果 iPhone XR 手机【0首付】移动联通电信4G手机 双卡双待 黑色 128G
98%,¥4958.00,淘金手机专营店,Apple 【国行正品】苹果 iPhone XR 手机 白色 128GB白色
